NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0051336	GO:0051336		61	-0.1916772	-0.7763286	0.8994083	0.989308	1.0	3481	tags=21%, list=18%, signal=26%	
GO:0009101	GO:0009101		95	-0.17243133	-0.7759975	0.9655172	0.98798364	1.0	3435	tags=13%, list=18%, signal=15%	
GO:0140678	GO:0140678		88	-0.17607763	-0.77528054	0.93968254	0.98724294	1.0	4433	tags=26%, list=23%, signal=34%	
GO:0043413	GO:0043413		95	-0.17243133	-0.7743575	0.94736844	0.98675674	1.0	3435	tags=13%, list=18%, signal=15%	
GO:0006486	GO:0006486		95	-0.17243133	-0.7737061	0.95424837	0.985914	1.0	3435	tags=13%, list=18%, signal=15%	
GO:0018205	GO:0018205		69	-0.18382089	-0.77210695	0.9201278	0.9864136	1.0	6726	tags=42%, list=34%, signal=64%	
GO:0071368	GO:0071368		41	-0.20120619	-0.7679076	0.8582474	0.99050146	1.0	4186	tags=24%, list=21%, signal=31%	
GO:0016409	GO:0016409		17	-0.25728345	-0.7665221	0.81632656	0.99053985	1.0	4598	tags=41%, list=23%, signal=54%	
GO:0003724	GO:0003724		45	-0.19810858	-0.76618016	0.9203297	0.9892347	1.0	7531	tags=47%, list=38%, signal=76%	
GO:0009932	GO:0009932		49	-0.19592923	-0.7621093	0.90933335	0.9929993	1.0	4168	tags=27%, list=21%, signal=34%	
GO:0035303	GO:0035303		24	-0.2322708	-0.7580401	0.84777516	0.99655426	1.0	4912	tags=33%, list=25%, signal=44%	
GO:0008186	GO:0008186		45	-0.19810858	-0.7580273	0.9074074	0.9948057	1.0	7531	tags=47%, list=38%, signal=76%	
GO:0000288	GO:0000288		15	-0.2570786	-0.75602466	0.81351984	0.99546695	1.0	14552	tags=100%, list=74%, signal=389%	
GO:0006352	GO:0006352		43	-0.19568633	-0.75566983	0.9244792	0.99419147	1.0	5234	tags=23%, list=27%, signal=32%	
GO:0045934	GO:0045934		114	-0.16189453	-0.7544629	0.97077924	0.99389404	1.0	2131	tags=12%, list=11%, signal=14%	
GO:0070085	GO:0070085		102	-0.16551585	-0.7537504	0.97096777	0.9931024	1.0	2306	tags=10%, list=12%, signal=11%	
GO:0005684	GO:0005684		32	-0.20660903	-0.7515378	0.8962025	0.99399483	1.0	15543	tags=100%, list=79%, signal=484%	
GO:0009736	GO:0009736		37	-0.20314871	-0.74932307	0.8967391	0.9947955	1.0	4186	tags=24%, list=21%, signal=31%	
GO:2000028	GO:2000028		29	-0.21701674	-0.7491768	0.8948718	0.9932134	1.0	2164	tags=14%, list=11%, signal=15%	
GO:0042393	GO:0042393		54	-0.18220758	-0.7428249	0.9168831	0.998733	1.0	6238	tags=30%, list=32%, signal=43%	
GO:0048582	GO:0048582		28	-0.21592216	-0.7408622	0.87371135	0.9991802	1.0	4125	tags=32%, list=21%, signal=41%	
GO:1903293	GO:1903293		18	-0.24178296	-0.7379409	0.8384615	1.0	1.0	14852	tags=100%, list=76%, signal=414%	
GO:0140534	GO:0140534		65	-0.17694639	-0.73394454	0.95170456	1.0	1.0	3551	tags=15%, list=18%, signal=19%	
GO:0034728	GO:0034728		21	-0.22761549	-0.7318967	0.8717949	1.0	1.0	2575	tags=19%, list=13%, signal=22%	
GO:0008287	GO:0008287		18	-0.24178296	-0.7318409	0.8484849	1.0	1.0	14852	tags=100%, list=76%, signal=414%	
GO:0009100	GO:0009100		98	-0.16234833	-0.73088014	0.9874608	1.0	1.0	3435	tags=12%, list=18%, signal=15%	
GO:0000041	GO:0000041		20	-0.23092832	-0.7288153	0.86585367	1.0	1.0	2540	tags=25%, list=13%, signal=29%	
GO:0009225	GO:0009225		28	-0.20750314	-0.7286146	0.90231365	1.0	1.0	3220	tags=25%, list=16%, signal=30%	
GO:0044038	GO:0044038		38	-0.1923382	-0.72773004	0.9085714	0.9992832	1.0	4761	tags=26%, list=24%, signal=35%	
GO:0048508	GO:0048508		15	-0.25168145	-0.72607875	0.8588517	0.99914265	1.0	2874	tags=27%, list=15%, signal=31%	
GO:0006643	GO:0006643		65	-0.17608806	-0.7259163	0.9542683	0.9976134	1.0	6770	tags=43%, list=35%, signal=66%	
GO:0033218	GO:0033218		48	-0.18696441	-0.72569567	0.9364641	0.9961139	1.0	5802	tags=35%, list=30%, signal=50%	
GO:0016810	GO:0016810		53	-0.17937666	-0.7243433	0.96033996	0.99566454	1.0	4007	tags=23%, list=20%, signal=28%	
GO:0005666	GO:0005666		18	-0.23594512	-0.722814	0.8679245	0.9954587	1.0	8183	tags=50%, list=42%, signal=86%	
GO:0010075	GO:0010075		17	-0.23659718	-0.72261614	0.8626506	0.99393946	1.0	2579	tags=18%, list=13%, signal=20%	
GO:0031327	GO:0031327		135	-0.15191902	-0.72052985	0.99264705	0.99423987	1.0	6733	tags=37%, list=34%, signal=56%	
GO:0044275	GO:0044275		21	-0.22549796	-0.7182642	0.89002556	0.99460214	1.0	3491	tags=29%, list=18%, signal=35%	
GO:0070592	GO:0070592		36	-0.19766869	-0.7182208	0.9245283	0.9929515	1.0	4761	tags=28%, list=24%, signal=37%	
GO:0042158	GO:0042158		47	-0.18123461	-0.7170026	0.94214875	0.9924042	1.0	7425	tags=45%, list=38%, signal=72%	
GO:0006004	GO:0006004		28	-0.20918806	-0.71516025	0.8992443	0.9923466	1.0	1364	tags=11%, list=7%, signal=12%	
GO:0006497	GO:0006497		47	-0.18123461	-0.71485054	0.93390805	0.9909523	1.0	7425	tags=45%, list=38%, signal=72%	
GO:0009890	GO:0009890		136	-0.1515342	-0.71466756	1.0	0.98946375	1.0	6733	tags=37%, list=34%, signal=56%	
GO:0070589	GO:0070589		38	-0.1923382	-0.714584	0.9347258	0.9878787	1.0	4761	tags=26%, list=24%, signal=35%	
GO:0010921	GO:0010921		17	-0.24121036	-0.7132822	0.90047395	0.9873925	1.0	4702	tags=35%, list=24%, signal=46%	
GO:0004197	GO:0004197		32	-0.20463169	-0.71222836	0.9177719	0.98662156	1.0	5742	tags=44%, list=29%, signal=62%	
GO:0042157	GO:0042157		49	-0.18167946	-0.71198094	0.9742857	0.9852122	1.0	7491	tags=45%, list=38%, signal=73%	
GO:0005764	GO:0005764		30	-0.20123711	-0.7090145	0.9436275	0.9859875	1.0	5742	tags=43%, list=29%, signal=61%	
GO:0040034	GO:0040034		20	-0.22267275	-0.70577437	0.92771083	0.9868681	1.0	2661	tags=20%, list=14%, signal=23%	
GO:0004177	GO:0004177		15	-0.24641556	-0.7039036	0.8578554	0.98668355	1.0	4645	tags=40%, list=24%, signal=52%	
GO:0005788	GO:0005788		17	-0.23593858	-0.7018579	0.8987952	0.98663634	1.0	3858	tags=29%, list=20%, signal=37%	
GO:0055072	GO:0055072		15	-0.24450915	-0.7016893	0.8657407	0.9851259	1.0	3064	tags=27%, list=16%, signal=32%	
GO:0042995	GO:0042995		28	-0.20006232	-0.6888227	0.9162437	0.9925946	1.0	5469	tags=43%, list=28%, signal=59%	
GO:0043622	GO:0043622		16	-0.2329702	-0.6862455	0.9113924	0.9927124	1.0	4740	tags=25%, list=24%, signal=33%	
GO:0031123	GO:0031123		46	-0.17427726	-0.68156254	0.9713467	0.99409145	1.0	4142	tags=15%, list=21%, signal=19%	
GO:0010558	GO:0010558		130	-0.14414895	-0.6795694	1.0	0.99371487	1.0	6733	tags=36%, list=34%, signal=55%	
GO:0034062	GO:0034062		27	-0.19715078	-0.67921513	0.94865525	0.9923311	1.0	3603	tags=15%, list=18%, signal=18%	
GO:0097747	GO:0097747		27	-0.19715078	-0.67311096	0.94545454	0.99433845	1.0	3603	tags=15%, list=18%, signal=18%	
GO:0042430	GO:0042430		28	-0.19116788	-0.6688603	0.95165396	0.9951989	1.0	4585	tags=29%, list=23%, signal=37%	
GO:0033365	GO:0033365		154	-0.13922043	-0.66788954	1.0	0.99409574	1.0	6158	tags=30%, list=31%, signal=43%	
GO:0051020	GO:0051020		19	-0.21608174	-0.667877	0.9307159	0.99248344	1.0	6595	tags=47%, list=34%, signal=71%	
GO:0071013	GO:0071013		41	-0.17447974	-0.6671041	0.96850395	0.9912966	1.0	2052	tags=10%, list=10%, signal=11%	
GO:0005686	GO:0005686		22	-0.20650339	-0.6639104	0.9485459	0.99136853	1.0	15543	tags=100%, list=79%, signal=484%	
GO:0071010	GO:0071010		15	-0.22129099	-0.6534143	0.9513889	0.99486864	1.0	1885	tags=13%, list=10%, signal=15%	
GO:0071004	GO:0071004		15	-0.22129099	-0.6344111	0.95662653	1.0	1.0	1885	tags=13%, list=10%, signal=15%	
GO:0006534	GO:0006534		15	-0.21777278	-0.6339229	0.95238096	0.99979204	1.0	4327	tags=27%, list=22%, signal=34%	
GO:0120114	GO:0120114		52	-0.15848225	-0.62564135	0.9941349	1.0	1.0	16487	tags=100%, list=84%, signal=631%	
GO:0005689	GO:0005689		17	-0.20645061	-0.62336206	0.9701493	1.0	1.0	15543	tags=100%, list=79%, signal=484%	
GO:0097525	GO:0097525		48	-0.1584498	-0.621591	0.99712646	0.9991846	1.0	16487	tags=100%, list=84%, signal=631%	
GO:0035304	GO:0035304		21	-0.19486298	-0.6197191	0.968	0.99818176	1.0	4912	tags=29%, list=25%, signal=38%	
GO:0006505	GO:0006505		29	-0.1788696	-0.61262864	0.98433423	0.9986869	1.0	7425	tags=45%, list=38%, signal=72%	
GO:0030532	GO:0030532		48	-0.1584498	-0.6065848	1.0	0.99870116	1.0	16487	tags=100%, list=84%, signal=631%	
GO:0043666	GO:0043666		15	-0.19789858	-0.5691555	0.97836536	1.0	1.0	3982	tags=27%, list=20%, signal=33%	
GO:0071824	GO:0071824		39	-0.14358659	-0.53790146	1.0	1.0	1.0	5251	tags=26%, list=27%, signal=35%	
GO:1903313	GO:1903313		31	-0.15162098	-0.5308481	0.99730456	1.0	1.0	7601	tags=39%, list=39%, signal=63%	
GO:0000122	GO:0000122		20	-0.16637869	-0.5210835	0.9818653	1.0	1.0	6733	tags=50%, list=34%, signal=76%	
GO:0045787	GO:0045787		22	-0.15915947	-0.51907617	0.995086	1.0	1.0	16469	tags=100%, list=84%, signal=629%	
GO:0008081	GO:0008081		19	-0.16577896	-0.51834506	0.99759036	1.0	1.0	4006	tags=26%, list=20%, signal=33%	
GO:0051130	GO:0051130		15	-0.16384785	-0.48679218	0.9977169	1.0	1.0	1073	tags=7%, list=5%, signal=7%	
GO:0000428	GO:0000428		87	-0.105470404	-0.4666231	1.0	1.0	1.0	8419	tags=45%, list=43%, signal=78%	
GO:0055029	GO:0055029		67	-0.09647444	-0.40484247	1.0	0.9999349	1.0	8419	tags=43%, list=43%, signal=76%	
