NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0072594	GO:0072594		121	0.14016744	0.5831907	1.0	1.0	1.0	4006	tags=15%, list=20%, signal=19%	
GO:0008023	GO:0008023		19	0.19764888	0.58260643	0.9749164	1.0	1.0	3706	tags=16%, list=19%, signal=19%	
GO:0090502	GO:0090502		48	0.16182026	0.575517	0.9969325	1.0	1.0	3967	tags=17%, list=20%, signal=21%	
GO:0070972	GO:0070972		48	0.16219896	0.57374877	0.9919614	1.0	1.0	6144	tags=25%, list=31%, signal=36%	
GO:0008276	GO:0008276		34	0.1721232	0.5734485	0.9904913	1.0	1.0	4219	tags=21%, list=22%, signal=26%	
GO:0016591	GO:0016591		43	0.16422144	0.5718829	0.9937402	1.0	1.0	120	tags=2%, list=1%, signal=2%	
GO:0042277	GO:0042277		34	0.17082182	0.56976485	0.9873016	1.0	1.0	6144	tags=32%, list=31%, signal=47%	
GO:0019208	GO:0019208		35	0.16599415	0.5601728	0.99369085	1.0	1.0	6369	tags=29%, list=33%, signal=42%	
GO:0065004	GO:0065004		35	0.16275108	0.55764437	0.9938367	1.0	1.0	4919	tags=23%, list=25%, signal=30%	
GO:0000228	GO:0000228		45	0.1551967	0.55334365	0.9952904	1.0	1.0	5916	tags=27%, list=30%, signal=38%	
GO:0090501	GO:0090501		84	0.13829584	0.550871	1.0	1.0	1.0	5204	tags=18%, list=27%, signal=24%	
GO:0005048	GO:0005048		22	0.18063284	0.54665375	0.98761064	1.0	1.0	16047	tags=100%, list=82%, signal=553%	
GO:0031122	GO:0031122		22	0.17990154	0.5454542	0.98553056	1.0	1.0	7450	tags=41%, list=38%, signal=66%	
GO:0006506	GO:0006506		28	0.1718524	0.5434034	0.9917355	1.0	1.0	301	tags=4%, list=2%, signal=4%	
GO:0042023	GO:0042023		20	0.18127099	0.5377304	0.99649125	1.0	1.0	5676	tags=35%, list=29%, signal=49%	
GO:0030865	GO:0030865		21	0.18065996	0.5371357	0.9931624	1.0	1.0	5486	tags=24%, list=28%, signal=33%	
GO:0034968	GO:0034968		24	0.17473306	0.53638834	0.9930796	1.0	1.0	3633	tags=13%, list=19%, signal=15%	
GO:0016811	GO:0016811		25	0.16712873	0.5297464	0.98869145	1.0	1.0	5489	tags=28%, list=28%, signal=39%	
GO:0090575	GO:0090575		44	0.14733525	0.52638346	0.99838185	1.0	1.0	4094	tags=11%, list=21%, signal=14%	
GO:0005838	GO:0005838		21	0.17282587	0.5186104	0.9897785	1.0	1.0	8096	tags=52%, list=41%, signal=89%	
GO:0022624	GO:0022624		21	0.17282587	0.511996	0.9902755	1.0	1.0	8096	tags=52%, list=41%, signal=89%	
GO:0016571	GO:0016571		39	0.14855173	0.51012236	0.9983923	1.0	1.0	16677	tags=100%, list=85%, signal=673%	
GO:0061025	GO:0061025		19	0.17261995	0.4987233	0.9900826	1.0	1.0	2239	tags=11%, list=11%, signal=12%	
GO:0006402	GO:0006402		49	0.13838829	0.49621376	1.0	1.0	1.0	16877	tags=100%, list=86%, signal=722%	
GO:0030880	GO:0030880		90	0.12107335	0.48663363	1.0	1.0	1.0	1397	tags=4%, list=7%, signal=5%	
