"","id","name","p_val","log_fold_change","sig_rank"
"4166","AT4G32640",NA,0.00055604349197047,-26.3003563982055,-10.8125146491255
"4167","AT4G30210","AR2",0.000556799287000729,-30.9946643968947,-10.8105550157787
"4168","AT3G60200",NA,0.00055690415120221,-5.68832467872591,-10.8102833329254
"4169","AT3G58430",NA,0.000557066466650541,-2.39715251692195,-10.8098629058688
"4170","AT4G32290",NA,0.000557066466650541,-7.3074863041316,-10.8098629058688
"4172","AT3G56400","ATWRKY70",0.000558089828331776,-2.47976476444494,-10.8072150272824
"4175","AT3G12490","ATCYS6",0.000558543927164496,-19.7326037168324,-10.8060416323945
"4177","AT4G38250","At4g38250",0.000558761065149863,-43.1277230138884,-10.8054808832691
"4181","AT1G28240","MUCI70",0.000559630458324785,-17.7709052625011,-10.8032378951056
"4185","AT1G12220","RPS5",0.000561576757721125,-5.84947731239918,-10.7982291522659
"4186","AT2G17110",NA,0.000562133246731136,-7.81009086974984,-10.7968002355569
"4189","AT2G02390","ATGSTZ1",0.000565250305129837,-14.5535481459908,-10.7888225137859
"4193","AT3G27260","GTE8",0.000568275097828656,-21.2017582786791,-10.781122882577
"4196","AT5G08600",NA,0.000568275097828656,-1.32518672891878,-10.781122882577
"4199","AT4G21450","PVA42",0.00056923295957334,-17.4167414309609,-10.7786931807273
"4202","AT5G35690","WSS1B",0.000569635923842124,-17.5076973631787,-10.77767224744
"4203","AT1G60010",NA,0.000569977551541419,-24.6934777117663,-10.7768072794258
"4204","AT1G14040","PHO1;H3",0.000570207061076407,-6.16803021674754,-10.7762264747583
"4205","AT1G08660","MGP2",0.000570599926412214,-16.8836159985931,-10.7752328186879
"4206","AT5G02200","FHL",0.000570599926412214,-4.15833768315526,-10.7752328186879
"4208","AT4G03960","AtPFA-DSP4",0.000571767474959824,-1.65755070541622,-10.7722838250732
"4211","AT5G02170",NA,0.00057317682250972,-8.55078972434278,-10.768732106876
"4212","AT3G11490","ROPGAP4",0.000574295284728299,-10.757308032961,-10.7659196630754
"4213","AT5G35935",NA,0.000574295284728299,-10.389858293002,-10.7659196630754
"4214","AT5G39050","PMAT1",0.000574384802197509,-27.7879086146819,-10.7656948025409
"4215","AT3G07274",NA,0.000574762923153571,-2.09265882469008,-10.7647453802241
"4218","AT3G20083","CYP705A16",0.000577289356330678,-10.8115325604612,-10.7584177533905
"4219","AT3G59920","ATGDI2",0.00057774892189289,-50.6561967660023,-10.757269716992
"4221","AT5G22355",NA,0.000577983720049108,-8.44023885578643,-10.7566835223515
"4222","AT4G13918",NA,0.000579297636998214,-2.48321347819874,-10.7534075993972
"4224","AT1G62990","IRX11",0.000579987120377507,-7.4187411304639,-10.7516915165055
"4228","AT4G20380","CHS4",0.000582564611281312,-14.8681745151731,-10.7452943139786
"4229","AT5G38010","UGT76E9",0.000582564611281312,-4.90051222243274,-10.7452943139786
"4232","AT5G48775",NA,0.000585656538641604,-1.79103620150827,-10.7376575430032
"4234","AT3G23760",NA,0.000586078503607758,-15.2010843975152,-10.7366184569155
"4236","AT1G78130","UNE2",0.000586291131286551,-4.75842373759644,-10.7360951460211
"4237","AT1G72710","CKL2",0.000586485527095356,-34.681258875266,-10.7356168727371
"4238","AT5G65910",NA,0.000586485527095356,-20.5365200760883,-10.7356168727371
"4240","AT1G72200","ATL11",0.000587322606390027,-16.2735892962468,-10.733559210471
"4243","AT1G61260",NA,0.000588533379688149,-18.6044391163144,-10.7305881370217
"4244","AT4G03390","SRF3",0.000588533379688149,-21.1192448119412,-10.7305881370217
"4245","AT4G37870","PCK1",0.000589827963173645,-996.792292279305,-10.727418158751
"4247","AT1G69890","DUF569",0.000591491462066098,-4.23423680571205,-10.7233550355386
"4248","AT4G32910","NUP85",0.00059192421822606,-11.3478634488441,-10.7222998945528
"4249","AT1G51130","Nse4A",0.00059268792283634,-4.26186327929285,-10.7204397194484
"4250","AT3G61060","AtPP2-A13",0.00059268792283634,-19.2754317430291,-10.7204397194484
"4251","AT4G18120","AML3",0.000593190280157306,-24.037071037891,-10.7192174211428
"4253","AT1G54680",NA,0.00059410085235901,-2.11553820141247,-10.7170045211702
"4254","AT2G22900","MAGT1",0.000595271705150463,-19.1942504075998,-10.7141640586913
"4258","AT1G75820","ATCLV1",0.000595743072904424,-19.8122971900817,-10.7130221081982
"4259","AT2G32190","AthCYSTM4",0.000596054915082599,-1.20962379679588,-10.7122671259297
"4262","AT1G43800","AAD6",0.000597402366998516,-1.77357515661001,-10.7090094257135
"4263","AT1G80840","ATWRKY40",0.00059961649181615,-1.89105434585786,-10.7036723159198
"4264","AT2G23810","TET8",0.000600109479819281,-49.0480795084023,-10.7024866595213
"4267","AT1G78570","ATRHM1",0.000600848494600685,-36.4277746768344,-10.7007111217963
"4271","AT2G46600","KIC",0.000602587631803914,-15.2182573774475,-10.6965413178323
"4272","AT4G23470",NA,0.000603793435933842,-30.703488400979,-10.6936573066945
"4273","AT3G48170","ALDH10A9",0.000604153306972056,-18.866824562677,-10.6927976923438
"4276","AT1G08010","GATA11",0.000605736528950419,-16.6241410296736,-10.6890219637895
"4280","AT2G27140",NA,0.000607022804956412,-6.65527769377693,-10.6859616621138
"4282","AT2G26150","ATHSFA2",0.000610709040881018,-1.0281469621529,-10.6772271766842
"4283","AT1G26380","AtBBE3",0.000611089245188223,-0.897803207945264,-10.6763292888864
"4284","AT3G03490","AtPEX19-1",0.000611089245188223,-10.7273848573038,-10.6763292888864
"4286","AT4G19670",NA,0.000611089245188223,-16.7693004251395,-10.6763292888864
"4287","AT5G27320","ATGID1C",0.000611202759464317,-9.66400962951387,-10.6760613226671
"4290","AT3G11930",NA,0.000611672066364747,-15.8244818558342,-10.6749539864838
"4291","AT5G65760",NA,0.000611672066364747,-12.6736121412225,-10.6749539864838
"4293","AT2G15240",NA,0.000612429961812565,-14.6759672548083,-10.6731675142476
"4298","AT1G45163",NA,0.000614411985112663,-1.51155070530295,-10.6685060210848
"4299","AT1G18280","LTPG3",0.000615048885525483,-1.14611354870856,-10.6670112957605
"4300","AT1G74420","ATFUT3",0.00061560455555737,-2.02845490407085,-10.6657084717045
"4301","AT3G03020",NA,0.000616945489420041,-2.86417001559372,-10.6625693547088
"4302","AT3G15510","ANAC056",0.000616945489420041,-9.70226709321171,-10.6625693547088
