"","id","name","p_val","log_fold_change","sig_rank"
"5816","AT2G15900","SNX4",0.00178587701014792,-13.6132002439719,-9.12915155636387
"5818","AT1G64670","BDG1",0.00178938399241977,-28.7059943745633,-9.12632126925971
"5819","AT5G25280",NA,0.00179096416298337,-66.5061154235831,-9.12504781523517
"5820","AT3G02980","MCC1",0.00179360717668301,-1.64490876095229,-9.12292032880114
"5823","AT2G39725","SDHAF1",0.00179973992056837,-1.30216006276969,-9.11799584611604
"5825","AT5G18080","SAUR24",0.00181045201920446,-0.964414823114026,-9.10943434180162
"5826","AT3G02060",NA,0.0018110464028604,-10.7937174130751,-9.10896077298531
"5827","AT2G37050",NA,0.00181109632385859,-23.9585524244584,-9.10892100603962
"5828","AT4G21190","emb1417",0.00181250537495636,-9.0231214376337,-9.10779901123858
"5830","AT1G56145",NA,0.00181296891644263,-12.3897044966484,-9.10743009453782
"5832","AT5G61250","AtGUS1",0.00181296891644263,-7.19518887847908,-9.10743009453782
"5833","AT5G62050","ATOXA1",0.00181296891644263,-9.39510415336427,-9.10743009453782
"5834","AT4G40060","ATHB-16",0.00181336172809243,-12.8498509441445,-9.10711754310392
"5835","AT5G41900",NA,0.00181636047891022,-8.33708826334238,-9.10473373317507
"5836","AT3G01540","ATDRH1",0.00182212742576416,-58.344567838711,-9.10016043085153
"5837","AT1G17470","ATDRG",0.00182269376994348,-11.4197489302883,-9.09971208954663
"5838","AT1G61750","CRRSP1",0.00182269376994348,-2.14035905832777,-9.09971208954663
"5844","AT3G55720","BDR7",0.00182674855306771,-3.10422149614181,-9.09650622004953
"5845","AT2G22080",NA,0.0018273715371877,-26.2910854800133,-9.0960142952704
"5848","AT1G47330","CBSDUF7",0.00183323084851878,-9.08751348140991,-9.09139581681857
"5849","AT2G01570","RGA",0.00183385784125481,-47.4562504853867,-9.09090247760793
"5851","AT3G20630","ATUBP14",0.00183929558131106,-12.9251373353618,-9.08663094008075
"5852","AT1G35260","MLP165",0.00184289756743943,-6.90661377732242,-9.08380839983238
"5853","AT1G63740",NA,0.00184312909798822,-6.79108686185189,-9.08362715970293
"5854","AT2G44380",NA,0.00184312909798822,-5.70089858623419,-9.08362715970293
"5856","AT4G26120","NPR2",0.0018443368026488,-2.05753032714329,-9.08268214779832
"5857","AT5G02760","APD7",0.00184496976123067,-31.2070441068741,-9.08218711373146
"5859","AT1G47310",NA,0.0018473070951313,-10.2875019748329,-9.08036056571843
"5861","AT3G54380","AtSAC3C",0.0018530493325426,-6.32212139033667,-9.07588299484188
"5864","AT1G63430",NA,0.00185626103023122,-9.24324740951539,-9.07338468597422
"5866","AT5G10300","AtHNL",0.00185626103023122,-7.71704412110047,-9.07338468597422
"5869","AT5G64150",NA,0.00185818455524877,-5.5051759642886,-9.07189048707533
"5870","AT2G32120","HSP70T-2",0.00186147882752315,-2.09013954545342,-9.06933507760565
"5872","AT2G46740","AtGulLO5",0.00186301072935403,-22.0124092230043,-9.06814830166473
"5873","AT5G48430",NA,0.00186301072935403,-2.04397367392886,-9.06814830166473
"5874","AT3G54200","NHL39",0.00186402379216306,-21.842797609436,-9.06736401017601
"5876","AT1G71015",NA,0.0018660959061986,-0.89230009388423,-9.06576115064738
"5877","AT1G26290",NA,0.00186611222633552,-9.40202596798567,-9.06574853346218
"5878","AT5G65300","SUPA",0.00186619983773396,-1.53325308613397,-9.06568080250726
"5879","AT5G37070",NA,0.00186767739862841,-4.32365109963345,-9.0645390028436
"5883","AT5G58540",NA,0.0018735294050145,-2.31135725207144,-9.06002566374143
"5884","AT4G03820",NA,0.00187444675507078,-5.54506305878291,-9.0593194391835
"5888","AT5G39510","ATVTI11",0.00187828568490521,-24.4716651999307,-9.05636777286838
"5889","AT1G78700","BEH4",0.00187834877643413,-11.4848185930963,-9.05631931362283
"5892","AT5G43700","ATAUX2-11",0.00188002175584002,-72.615498880227,-9.0550349276204
"5893","AT4G34890","ATXDH1",0.00188006836026561,-15.931474073611,-9.05499916466174
"5896","AT1G07000","ATEXO70B2",0.00188537424680074,-6.32698581406974,-9.05093335776629
"5898","AT1G63830",NA,0.00188596389141577,-8.03511271303034,-9.05048223016238
"5899","AT2G30550","DALL3",0.00188604395476469,-18.9066702148194,-9.05042098585899
"5900","AT1G54340","ICDH",0.00188780356496848,-12.0878398423677,-9.04907563150347
"5907","AT5G58510",NA,0.00188940795643959,-10.895786427031,-9.04785004604441
"5909","AT1G52343",NA,0.00189101914479733,-0.861884153025915,-9.0466203153647
"5912","AT2G45050","GATA2",0.00189719865347242,-32.1635113315104,-9.04191353507748
"5913","AT2G16050",NA,0.00190072877493239,-1.53337514126456,-9.03923160379433
"5914","AT3G11750","FOLB1",0.00190072877493239,-1.07637060913933,-9.03923160379433
"5915","AT1G56150","SAUR71",0.0019038203372835,-1.15141946632439,-9.03688694611075
"5917","AT2G37620","AAc1",0.00190465825979455,-10.9418859642539,-9.03625211693158
"5918","AT2G22300","CAMTA3",0.00190513411306844,-17.2506021186084,-9.03589172397846
"5920","AT5G57620","AtMYB36",0.00191032078831996,-7.23667420749016,-9.03196936322899
"5922","AT5G46240","AtKAT1",0.0019149226410169,-12.5366453349983,-9.02849817328239
"5924","AT1G02050","LAP6",0.00191801520902894,-2.45024216041726,-9.02617012431458
"5925","AT4G02090",NA,0.00192078843463829,-4.9108865207917,-9.02408566264304
"5926","AT2G30505",NA,0.00192095351841001,-2.23688195565639,-9.02396167433677
"5927","AT4G03330","ATSYP123",0.00192271258562732,-2.5252255425543,-9.02264116539583
"5931","AT1G24764","ATMAP70-2",0.00192684169408409,-13.5384591521367,-9.01954623744024
"5932","AT2G29980","AtFAD3",0.00192764054732717,-31.6793897597064,-9.01894823150507
"5933","AT3G51430","SSL5",0.00192764054732717,-6.30357830686745,-9.01894823150507
"5934","AT3G57800","BHLH60",0.00192828899755258,-18.304015534461,-9.01846299653259
"5935","AT4G17615","ATCBL1",0.00192828899755258,-12.2039767296661,-9.01846299653259
"5938","AT2G22450","AtRIBA2",0.00193325925318752,-8.24222105799201,-9.01474916640509
"5939","AT4G39210","APL3",0.00193325925318752,-8.56763925543231,-9.01474916640509
"5940","AT5G20820","AtSAUR76",0.00194162171158667,-2.586335748123,-9.00852213847733
"5942","AT1G09575","MCU1",0.00194285829637741,-6.29781128495347,-9.00760360379478
"5943","AT4G23180","CRK10",0.00194623587659898,-6.77841434104767,-9.00509771463693
"5944","AT1G56540",NA,0.00194642101258808,-1.8048991231,-9.0049604845747
"5945","AT4G14960","TUA6",0.00194642101258808,-94.6395180142198,-9.0049604845747
"5949","AT5G05080","ATUBC22",0.0019506301201691,-15.2890678595463,-9.00184404561193
"5953","AT1G33060","ANAC014",0.00195622834059343,-5.30182329503747,-8.9977095060821
"5954","AT1G65845",NA,0.00195622834059343,-12.1924470768386,-8.9977095060821
"5957","AT1G48570",NA,0.00196198327702828,-6.18609824349939,-8.99347153986905
"5959","AT4G21620",NA,0.00196299969935304,-29.2466577182753,-8.9927243328167
"5960","AT5G27830",NA,0.00196313423314668,-3.83592506107457,-8.99262546138728
"5964","AT3G03120","ARFB1C",0.00196371055207736,-3.2040112704901,-8.99220199037444
"5967","AT1G67970","AT-HSFA8",0.00196829020860473,-1.40853782506579,-8.98884133448917
"5971","AT1G12920","ERF1-2",0.00197438321246492,-18.0170841900647,-8.98438225177432
"5974","AT3G01570",NA,0.00197785189218032,-1.11103325637005,-8.98184988809847
"5975","AT4G11020",NA,0.00197785189218032,-0.582516925399822,-8.98184988809847
"5976","AT5G59550","AtRDUF2",0.00197785189218032,-7.26786374651037,-8.98184988809847
"5978","AT2G04500",NA,0.00198083260337362,-2.8284820956356,-8.97967731886523
"5980","AT3G49780","ATPSK3",0.00198104634025225,-7.01826582306461,-8.97952165679704
"5981","AT5G66250",NA,0.00198241382044761,-9.31704784075101,-8.97852613425126
"5982","AT3G01220","ATHB20",0.00198429257153244,-12.2948702149396,-8.9771595268909
"5985","AT1G53170","ATERF-8",0.00198705631532101,-5.46935342230993,-8.97515152396024
"5986","AT2G41620","NUP93A",0.00198832088715641,-9.90493285011534,-8.97423367818894
"5987","AT1G17530","ATTIM23-1",0.00199057435811531,-16.1661208060936,-8.97259952020065
"5989","AT3G25900","ATHMT-1",0.00199735634368205,-7.21913910199017,-8.9676925410635
"5990","AT1G67860",NA,0.00199922405349595,-1.33301692332157,-8.96634412035644
"5992","AT5G15830","AtbZIP3",0.00200224837431845,-14.5976302375243,-8.96416333637645
"5993","AT1G61370",NA,0.00200237509366014,-4.76739052613425,-8.96407203322779
"5994","AT1G73120",NA,0.00200237509366014,-220.114849277709,-8.96407203322779
"5995","AT5G09300","T5E8_100",0.00200284929376909,-5.54397253571671,-8.96373041633816
"5996","AT4G02880",NA,0.00200442368764131,-10.4933710340385,-8.96259679237031
"5997","AT3G45730",NA,0.00201336334908606,-9.04742165748047,-8.95617672759374
"6000","AT2G37925","COPT4",0.00201707776549709,-1.01023458382908,-8.95351757863175
"6003","AT4G26060",NA,0.00201717039381951,-5.3430974528172,-8.95345132865597
"6006","AT4G23000",NA,0.00202337361886028,-3.13577291016387,-8.94902154444527
