"","id","name","p_val","log_fold_change","sig_rank"
"8496","AT4G20360","ATRAB8D",0.00995907774805716,1500.15430034173,6.64977213573306
"8495","AT3G27830","RPL12",0.00995690764930455,490.238125937729,6.65008653551379
"8493","AT1G03475","ATCPO-I",0.00994338437688605,56.4069589781997,6.65204730684642
"8492","AT5G48070","ATXTH20",0.00994062063486793,0.834064818973712,6.65244835652702
"8490","AT3G18240","AT3G18240/MIE15_3",0.00992667755021616,3.36700216843654,6.65447335481285
"8491","AT4G38970","AtFBA2",0.00992667755021616,2477.55906997977,6.65447335481285
"8489","AT5G33320","ARAPPT",0.00992376278599607,24.9253777005643,6.65489703467532
"8486","AT2G17800","ARAC1",0.00990873172702725,7.87519893453143,6.6570838738923
"8480","AT3G07880","SCN1",0.00988315728448786,18.5500372301457,6.66081228424653
"8477","AT2G18040","PIN1AT",0.00988126750403539,12.3844683968612,6.66108817154653
"8479","AT4G16840",NA,0.00988126750403539,0.98297145731307,6.66108817154653
"8475","AT5G26860","LON1",0.00988079758019639,5.6211392813215,6.66115678348454
"8469","AT4G04940",NA,0.00986543058058726,3.76286676065833,6.66340226534817
"8465","AT2G29890","ATVLN1",0.00986107507219851,6.90063230862007,6.66403934426784
"8464","AT1G22140",NA,0.00985626528055901,4.27435088379039,6.66474319808986
"8463","AT5G43590","PLP4",0.00985029785582739,0.751349417734414,6.66561693485164
"8458","AT3G51920","ATCML9",0.00982756402949339,7.42580162035623,6.66895042639617
"8456","AT3G09890",NA,0.00981919241781906,1.68532930413763,6.6701799100934
"8454","AT1G01580","ATFRO2",0.00980582859182381,0.744974022399361,6.67214474146466
"8451","AT2G04450","ATNUDT6",0.00978644067520813,0.786665841343239,6.67500003708188
"8448","AT4G27350",NA,0.00976546912078051,3.27717790535096,6.67809493364095
"8447","AT4G07960","ATCSLC12",0.0097585399490553,2.16579875019379,6.67911897353659
"8442","AT4G34670","RPS3AB",0.00974258943902184,41.4695074062897,6.68147901396282
"8443","AT5G55230","ATMAP65-1",0.00974258943902184,11.6878515434158,6.68147901396282
"8441","AT3G48590","ATHAP5A",0.00973303880084112,7.90793958435827,6.68289397827365
"8437","AT1G63480","AHL12",0.00972024843594641,3.22547956965651,6.68479109709363
"8436","AT5G45390","CLPP4",0.00970094265952907,95.4157427115246,6.68765934105818
"8434","AT2G45080","cycp3;1",0.00969509021852819,0.648406149010878,6.68852996113996
"8429","AT4G25250","PMEI4",0.0096617382564651,5.30792104801383,6.6935015150234
"8426","AT4G03270","CYCD6;1",0.00965223539355146,1.98647343903563,6.69492118500478
